id,description,Ollama_Response
1594812,"Description of problem: System language set and system default language mixed in an stderr output stream.

Version-Release number of component: coreutils.x86_64 8.29-7.fc28

Actual results: 
Test case: Finnish as System language – Enter a non-existent path:
$ ls -l /var/lib/libvirt/pictures/
ls: tiedostoa '/var/lib/libvirt/pictures/' ei voi käsitellä: No such file or directory

Expected results: No mixing of language. Otput uniform in Finnish when available.","```bash
ls -l /var/lib/libvirt/pictures/
```"
1591152,"Description of problem: Some ls commands aiming to produce identical results produce different outputs.

Version-Release number of component: coreutils.x86_64 8.29-7.fc28 @updates

Actual results:
$ ls -l /usr/bin | grep waterfox
lrwxrwxrwx. 1 root root          28 Jun 13 22:14 waterfox -> /usr/local/waterfox/waterfox

$ ls -l `find /usr/bin -maxdepth 1 -type l -print` | grep waterfox
lrwxrwxrwx. 1 root root 28 Jun 13 22:14 /usr/bin/waterfox -> /usr/local/waterfox/waterfox

Expected results: Output resulting from 'ls -l /usr/bin | grep waterfox' to be identical to the once resulting from 'ls -l `find /usr/bin -maxdepth 1 -type l -print` | grep waterfox'.","```bash
ls -l /usr/bin | grep waterfox
ls -l $(find /usr/bin -maxdepth 1 -type l) | grep waterfox
```"
1591002,"Description of problem:

I had to logout from X11 session. After login I noticed lack of sound - pulseaudio gave me dummy output only. Other apps also behaved like I would be no one.

Checked group access and got nothing:

23:28 (3s) hrw@puchatek:~$ whoami; id
hrw
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw) kontekst=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
23:28 (0s) hrw@puchatek:~$ 

But when asked for exact user I got full list:

23:28 (3s) hrw@puchatek:~$ id hrw; sudo id hrw
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw),10(wheel),11(cdrom),18(dialout),63(audio),100(users),135(mock),1001(vboxusers),986(wireshark),960(libvirt),1003(docker)
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw),10(wheel),11(cdrom),18(dialout),63(audio),100(users),135(mock),1001(vboxusers),986(wireshark),960(libvirt),1003(docker)
23:28 (0s) hrw@puchatek:~$ 

Not that helped...

Version-Release number of selected component (if applicable):

coreutils-8.29-7.fc28.x86_64

How reproducible:

always - each relogin I get no groups

Actual results:

23:28 (3s) hrw@puchatek:~$ whoami; id; id hrw; sudo id hrw
hrw
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw) kontekst=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw),10(wheel),11(cdrom),18(dialout),63(audio),100(users),135(mock),1001(vboxusers),986(wireshark),960(libvirt),1003(docker)
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw),10(wheel),11(cdrom),18(dialout),63(audio),100(users),135(mock),1001(vboxusers),986(wireshark),960(libvirt),1003(docker)
23:28 (0s) hrw@puchatek:~$ 

Expected results:

23:28 (3s) hrw@puchatek:~$ whoami; id
hrw
uid=1000(hrw) gid=1000(hrw) grupy=1000(hrw),10(wheel),11(cdrom),18(dialout),63(audio),100(users),135(mock),1001(vboxusers),986(wireshark),960(libvirt),1003(docker)
23:28 (0s) hrw@puchatek:~$ 

Additional info:

coreutils may be wrong package but had no idea where to report it and 'id' is there...",None
1537070,"See bug 1531546 and bug 1536349 for context.

Could you please move the ""ln"" and ""mkdir"" commands to a coreutils subpackage (e.g. coreutils-core), which doesn't depend on openssl-libs?

Actually, how about you move all commands to coreutils-core, which don't require openssl-libs?

This could allow the ca-certificates package to depend on coreutils-core, without creating a circular dependency.",None
1577872,"Description of problem:

TLDR: It would be nice if upstream made a new release of coreutils 8.30 which fixes some bugs but while it is not available it would be nice to backport some upstream patches.

Long description:

Some issues related with the changes in date formats have been recently fixed upstream:

1. https://debbugs.gnu.org/cgi/bugreport.cgi?bug=19856 Bad month translation printed with date command in Greek locale

Actually caused by https://sourceware.org/bugzilla/show_bug.cgi?id=10871 (lack of support of multiple grammar cases for month names) and affects more languages than just Greek. This is fixed, new glibc is distributed by Fedora. What is missing is the lack of support of the new format specifiers: %OB, %Ob, and %Oh in date command line utility. Currently only %B, %b, %h are supported which is usually correct but custom formats should be supported for those who need them.

Fixed by the commit: http://git.savannah.gnu.org/cgit/coreutils.git/commit/?id=b1fa4aa (later overridden by http://git.savannah.gnu.org/cgit/coreutils.git/commit/?id=ad9b283 and http://git.savannah.gnu.org/cgit/coreutils.git/commit/?id=3299901)

2. https://debbugs.gnu.org/cgi/bugreport.cgi?bug=30814 Increase the value of MAX_MON_WIDTH in ls.c

As a consequence of the changes in dates the date column in ""ls -l"" is too narrow to fit the month name in several languages, for example in Catalan. Now March and May are both displayed as ""de ma""; June and July both displayed as ""de ju"".


Version-Release number of selected component (if applicable): 8.29


How reproducible: always (""ls -l"" issue depending on locale)


Steps to Reproduce:
1. Open a text console (Terminal, xterm, konsole, text mode)
2. Execute the command:

LC_ALL=ca_ES.utf8 ls -l

3. Execute the command:

date ""+%OB""


Actual results:

If the current directory contains files last updated in March, May, June or July (any year) then ""ls -l"" in Catalan displays the month name as ""de ma"" which is ambiguous. The same problem may also appear in other languages.

The date command displays:

%OB


Expected results:

ls -l should have enough space to display the full abbreviated month name: ""de març"", ""de maig"", ""de juny"", ""de jul."" (yes, if the name of a month is short it is not abbreviated).

date should display the name of the current month, in all languages. If a language needs multiple grammar forms of a month name then the form appropriate when displaying a month standalone should be used (this usually means a nominative case)


Additional info:

See also my article, scroll down to Catalan: http://lingonborough.com/fedora-28-updates-for-czech-catalan-greek-and-lithuanian-users","LC_ALL=ca_ES.utf8 ls -l  
date ""+%OB"""
1582165,"Version-Release number of component: coreutils.x86_64 8.29-6.fc28 @updates

1. Accuracy

Actual results: In terminal, outputs resulting from the execution of command:
– 'df -h' are specified at best with one digit accuracy.

Enhancement: An accuracy with two digits (model 0.00 M) would be appropriate.

2. Documentation

Actual results: Df tool displays sizes associated to data storage observing the notation (k, M, G, ...) while obviously outputs resulting from 'df' tends to indicate that actually, by default sizes associated to data storage are specified by observing the international standard ISO 80000 –also known as IEC 80000– which sets the convention regarding binary prefixes (e.g. 1024 = 1 Ki = '1 kibi') in that field. But that is all a deduction.

'man df' lacks valuable information related to that policy that required to be established in man page.

Enhancement: above mentioned policy to be dully documented.

3. Conventions

Actual results: Convention used regarding the signs '%' and Metric prefixes (k, M, G, ...)  attached along with data storage values –made upon format (model 0%)– is the one that applies to American English and British English and others countries attached to the British crown. Nevertheless others countries' convention regarding values an units representation observe a format which introduces a space between values and units (here as model: 0 %).

Furthermore readability of expressions displayed in such formats are not equal; model '0 %' is superior to '0%'.

Enhancement: As expected model '0 %' is the one who fill higher purpose.

4. Basic units of measure are missing (by policy, not as result of an issue)

Actual results: Basic units of measure are missing since only metric prefixes are displayed.

Enhancement: Since unit prefixes illustrated here are in this context likely to indicate nothing else but multiples of the unit proper to digital information, characters 'b' or 'B' and their equivalents for others supported system languages must be considered to be part of the designation.

Additional info: Metric prefix is a unit prefix that precedes a basic unit of measure to indicate in that case a multiple of the unit.",None
453709,"Description of problem:
/bin/ls -i / ignores mount points and shows underlying filesystem
inode numbers.

Version-Release number of selected component (if applicable):
$ ls --version
ls (GNU coreutils) 6.9
$ rpm -q coreutils
coreutils-6.9-9.fc7


How reproducible:
Always

Steps to Reproduce:
1. /bin/ls -i /
2. /bin/ls -i -color=auto
3.
  
Actual results:
$ cd /
$ /bin/ls -i
 648321 bin    907649 home         162081 misc   842817 proc     1329057 srv   
   1977377 usr
 680737 boot   226913 lib         2463617 mnt   2301537 root     1718049 sys   
    583489 var
2269121 dev        11 lost+found   486241 net   1426305 sbin      713153 tftpboot
1102145 etc   1944961 media       1588385 opt   1912545 selinux  2236705 tmp
$ /bin/ls -i --color
 648321 bin         2 home           6954 misc        1 proc     1329057 srv   
         2 usr
      2 boot   226913 lib         2463617 mnt   2301537 root           1 sys   
         2 var
    197 dev        11 lost+found     6957 net   1426305 sbin      713153 tftpboot
1102145 etc   1944961 media       1588385 opt         1 selinux        2 tmp


Expected results:
$ /bin/ls -i
 648321 bin         2 home           6954 misc        1 proc     1329057 srv   
         2 usr
      2 boot   226913 lib         2463617 mnt   2301537 root           1 sys   
         2 var
    197 dev        11 lost+found     6957 net   1426305 sbin      713153 tftpboot
1102145 etc   1944961 media       1588385 opt         1 selinux        2 tmp
$ /bin/ls -i --color
 648321 bin         2 home           6954 misc        1 proc     1329057 srv   
         2 usr
      2 boot   226913 lib         2463617 mnt   2301537 root           1 sys   
         2 var
    197 dev        11 lost+found     6957 net   1426305 sbin      713153 tftpboot
1102145 etc   1944961 media       1588385 opt         1 selinux        2 tmp


Additional info:

I posted this as a question on comp.unix.shell on 6/30/08, """"Gnu ls bug?"",
and had the bug confirmed on other Linux systems as well.

Stephane Chazelas (a smart guy) added this:
<quote>
Could be a Linux bug. With -i alone, ls gets the inode number
from readdir, which if you have --color, ls does a lstat to get
the type of file (directory, regular...) and gets the result
from there.

So with -i alone, you get the inode of the dir entry in the
parent filesystem while with other options that trigger the call
of lstat(2), you get the inode of the mount point.
</quote>

Also, Geoff Clare (another smart guy) wrote:
<quote>
Yes, this is a known bug in some implementations of readdir(),
although I didn't think any modern systems suffered from it.

It is mentioned in the rationale for readdir() in the new POSIX
revision:

    When returning a directory entry for the root of a mounted file
    system, some historical implementations of readdir() returned the
    file serial number of the underlying mount point, rather than of
    the root of the mounted file system. This behavior is considered
    to be a bug, since the underlying file serial number has no
    significance to applications.
</quote>

So, this is a bug that manifests with ls, but might be a bug in the kernel
system call or glibc, I don't know which.

I marked this bug as ""urgent"" since reporting incorrect inode numbers can break
backups, and reporting underlying ""hidden"" inode numbers represents a security risk.","/bin/ls -i /
/bin/ls -i --color=auto /"
1564541,"Description of problem:
Sometimes when rebooting the date command returns an invalid time.  The invalid
time appears to be the time of the previous reboot.

Version-Release number of selected component (if applicable):
coreutils-8.27-20.fc27.x86_64

How reproducible:
Fairly.  However, this does not happen every time.

Steps to Reproduce:
1.  In a personal crontab for root, specify a line like:
@reboot        nice run-parts /root/cron.reboot
2.  In the /root/cron.reboot directory, specify a member which includes the following:
set -x
cd /root
date ""+%X""
[some command that takes a few seconds, maybe just a ""sleep 5""]
date ""+%X""
...
3.  reboot
4.  review mail from reboot cron job

Actual results:
Sometimes my cron job mail output looks like:

> Date: Fri, 6 Apr 2018 10:09:36 -0400
> From: ""(Cron Daemon)"" <root@gecko1.bugbane-hollow>
> To: root@gecko1.bugbane-hollow
> Subject: Cron <root@gecko1> nice run-parts /root/cron.reboot
>
> /root/cron.reboot/000_resume_boinc.sh:
>
> ++ cd /root
> ++ date +%X
> 06:09:20 AM
> ++ /root/bin/wait_boinc_up.awk
> ++ date +%X
> 10:09:36 AM
> ...

Note the time of the cron job, 10:09:36.
However, the output of the first date command is 06:09:20 AM, hours before the
reboot cron job ran - more or less the time of the previous reboot.

Expected results:
Consistent times - that is, the date command in the script does not show
a time several hours before the script was run.

Additional info:","@reboot        nice run-parts /root/cron.reboot

Inside `/root/cron.reboot/000_resume_boinc.sh`:
```bash
set -x
cd /root
date ""+%X""
sleep 5
date ""+%X""
```

Reboot the system and check the cron job mail output for inconsistent times."
1555079,"Description of problem:

I installed the debuginfo for coreutils to look at how it does things and when using GDB to track through the source I found that the .y files seem to be missing from the debuginfo.

[ben@Mustang ~]$ sudo dnf debuginfo-install coreutils
enabling updates-debuginfo repository
enabling fedora-debuginfo repository
enabling rpmfusion-free-updates-debuginfo repository
enabling rpmfusion-free-debuginfo repository
enabling rpmfusion-nonfree-updates-debuginfo repository
enabling rpmfusion-nonfree-debuginfo repository
Fedora 27 - x86_64 - Updates - Debug            2.7 MB/s |  13 MB     00:04    
RPM Fusion for Fedora 27 - Free - Updates Debug 664 kB/s | 425 kB     00:00    
RPM Fusion for Fedora 27 - Nonfree - Updates De  93 kB/s |  31 kB     00:00    
Last metadata expiration check: 0:00:00 ago on Tue 13 Mar 2018 01:25:54 PM PDT.
Dependencies resolved.
================================================================================
 Package                  Arch      Version          Repository            Size
================================================================================
Installing:
 coreutils-debuginfo      x86_64    8.27-20.fc27     updates-debuginfo    2.8 M
Installing weak dependencies:
 coreutils-debugsource    x86_64    8.27-20.fc27     updates-debuginfo    1.0 M

Transaction Summary
================================================================================
Install  2 Packages

Total download size: 3.8 M
Installed size: 22 M
Is this ok [y/N]: y
Downloading Packages:
(1/2): coreutils-debugsource-8.27-20.fc27.x86_6 276 kB/s | 1.0 MB     00:03    
(2/2): coreutils-debuginfo-8.27-20.fc27.x86_64. 332 kB/s | 2.8 MB     00:08    
--------------------------------------------------------------------------------
Total                                           409 kB/s | 3.8 MB     00:09     
Running transaction check
Transaction check succeeded.
Running transaction test
Transaction test succeeded.
Running transaction
  Preparing        :                                                        1/1 
  Installing       : coreutils-debugsource-8.27-20.fc27.x86_64              1/2 
  Installing       : coreutils-debuginfo-8.27-20.fc27.x86_64                2/2 
  Verifying        : coreutils-debuginfo-8.27-20.fc27.x86_64                1/2 
  Verifying        : coreutils-debugsource-8.27-20.fc27.x86_64              2/2 

Installed:
  coreutils-debuginfo.x86_64 8.27-20.fc27                                       
  coreutils-debugsource.x86_64 8.27-20.fc27                                     

Complete!

in GDB:

(gdb) 
543	              valid_date = parse_datetime2 (&when, datestr, NULL,
(gdb) 
parse_datetime2 (result=0x7fffffffdc50, p=0x7fffffffe18b ""2018-01-01T00:00"", now=0x0, flags=0, tzdefault=0x55555576f280, tzstring=0x0) at parse-datetime.y:1728
1728	parse-datetime.y: No such file or directory.
(gdb) n
1741	in parse-datetime.y

ben@Mustang src]$ rpm -ql coreutils-debugsource-8.27-20.fc27.x86_64 | grep date
/usr/src/debug/coreutils-8.27-20.fc27.x86_64/lib/parse-datetime.h
/usr/src/debug/coreutils-8.27-20.fc27.x86_64/src/date.c
[ben@Mustang src]$ rpm -ql coreutils-debuginfo-8.27-20.fc27.x86_64 | grep date
/usr/lib/debug/usr/bin/date-8.27-20.fc27.x86_64.debug

However, if you look at the old coreutils debuginfo package from before we did the debugsource/debuginfo split it included the yacc files:

[ben@Mustang Downloads]$ rpm -qlp coreutils-debuginfo-8.22-18.el7.x86_64.rpm | grep date
warning: coreutils-debuginfo-8.22-18.el7.x86_64.rpm: Header V3 RSA/SHA256 Signature, key ID fd431d51: NOKEY
/usr/lib/debug/usr/bin/date.debug
/usr/src/debug/coreutils-8.22/lib/parse-datetime.h
/usr/src/debug/coreutils-8.22/lib/parse-datetime.y
/usr/src/debug/coreutils-8.22/src/date.c",None
1544392,"Description of problem:
I have a directory with about 40000 subdirectories, each containing several small files and symlinks outside that directory. When copying the directory with cp -r and running du on the new directory to see how much data was already copied, du sometimes crashes.

I have seen this with coreutils-8.27-17.fc27.x86_64 and coreutils-8.27-19.fc27.x86_64, but not coreutils-8.29-3.fc28.x86_64.

Backtrace:
#0  0x00007ffff6dc666b in raise () from /lib64/libc.so.6
#1  0x00007ffff6dc8381 in abort () from /lib64/libc.so.6
#2  0x000055555562762b in leave_dir (ent=ent@entry=0x5555558ef5f0, fts=<optimized out>, fts=<optimized out>)
    at ../lib/fts-cycle.c:136
#3  0x0000555555627b71 in fts_build (sp=sp@entry=0x55555589d510, type=type@entry=3) at ../lib/fts.c:1355
#4  0x000055555562899d in fts_read (sp=sp@entry=0x55555589d510) at ../lib/fts.c:931
#5  0x0000555555594017 in du_files (files=0x5555558867d0 <temp_argv>, bit_flags=280) at ../src/du.c:691
#6  single_binary_main_du (argc=<optimized out>, argv=<optimized out>) at ../src/du.c:1123
#7  0x0000555555564752 in launch_program (prog_name=<optimized out>, prog_argc=1, prog_argv=0x7fffffffd688)
    at ../src/coreutils.c:127
#8  0x0000555555564542 in launch_program (prog_argv=<optimized out>, prog_argc=1, prog_name=0x7fffffffda3b ""du"")
    at ../src/coreutils.c:195
#9  main (argc=<optimized out>, argv=0x7fffffffd678) at ../src/coreutils.c:177",None
1532285,"
This is an automatically created tracking bug!  It was created to ensure
that one or more security vulnerabilities are fixed in affected versions
of fedora-all.

For comments that are specific to the vulnerability please use bugs filed
against the ""Security Response"" product referenced in the ""Blocks"" field.

For more information see:
http://fedoraproject.org/wiki/Security/TrackingBugs

When submitting as an update, use the fedpkg template provided in the next
comment(s).  This will include the bug IDs of this tracking bug as well as
the relevant top-level CVE bugs.

Please also mention the CVE IDs being fixed in the RPM changelog and the
fedpkg commit message.

NOTE: this issue affects multiple supported versions of Fedora. While only
one tracking bug has been filed, please correct all affected versions at
the same time.  If you need to fix the versions independent of each other,
you may clone this bug as appropriate.",None
1259942,"Description of problem:

I believe I have encountered  a major memory leak in coreutils sort when sorting by month ""-M""

Version-Release number of selected component (if applicable):

[sam@deben coreutils]$ rpm -q coreutils
coreutils-8.22-22.fc21.x86_64
[sam@deben coreutils]$ sort --version
sort (GNU coreutils) 8.22
Copyright (C) 2013 Free Software Foundation, Inc.
License GPLv3+: GNU GPL version 3 or later <http://gnu.org/licenses/gpl.html>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.

Written by Mike Haertel and Paul Eggert.


How reproducible: Every time


Steps to Reproduce:
1. Create a test file

base64 /dev/urandom | head -n 10000 > 10000.txt

2. Run under valgrind (defaults)

valgrind sort 10000.txt > /dev/null

3. Run under valgrind (-M)

valgrind sort -M 10000.txt > /dev/null

Actual results:

[sam@deben coreutils]$ valgrind sort 10000.txt > /dev/null
==8382== Memcheck, a memory error detector
==8382== Copyright (C) 2002-2013, and GNU GPL'd, by Julian Seward et al.
==8382== Using Valgrind-3.10.1 and LibVEX; rerun with -h for copyright info
==8382== Command: sort 10000.txt
==8382== 
==8382== 
==8382== HEAP SUMMARY:
==8382==     in use at exit: 192 bytes in 14 blocks
==8382==   total heap usage: 60 allocs, 46 frees, 74,697,309 bytes allocated
==8382== 
==8382== LEAK SUMMARY:
==8382==    definitely lost: 0 bytes in 0 blocks
==8382==    indirectly lost: 0 bytes in 0 blocks
==8382==      possibly lost: 0 bytes in 0 blocks
==8382==    still reachable: 192 bytes in 14 blocks
==8382==         suppressed: 0 bytes in 0 blocks
==8382== Rerun with --leak-check=full to see details of leaked memory
==8382== 
==8382== For counts of detected and suppressed errors, rerun with: -v
==8382== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)


[sam@deben coreutils]$ valgrind sort -M 10000.txt > /dev/null
==8312== Memcheck, a memory error detector
==8312== Copyright (C) 2002-2013, and GNU GPL'd, by Julian Seward et al.
==8312== Using Valgrind-3.10.1 and LibVEX; rerun with -h for copyright info
==8312== Command: sort -M 10000.txt
==8312== 

==8312== 
==8312== HEAP SUMMARY:
==8312==     in use at exit: 92,753,702 bytes in 481,851 blocks
==8312==   total heap usage: 722,815 allocs, 240,964 frees, 186,001,505 bytes allocated
==8312== 
==8312== LEAK SUMMARY:
==8312==    definitely lost: 92,731,870 bytes in 481,751 blocks
==8312==    indirectly lost: 0 bytes in 0 blocks
==8312==      possibly lost: 21,021 bytes in 78 blocks
==8312==    still reachable: 811 bytes in 22 blocks
==8312==         suppressed: 0 bytes in 0 blocks
==8312== Rerun with --leak-check=full to see details of leaked memory
==8312== 
==8312== For counts of detected and suppressed errors, rerun with: -v
==8312== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)


Expected results:

No ""definitely lost"" blocks when using -M

Additional info:

This issue was found when a set of machines were receiving intermittent OOM killer triggers.  We tracked it down to a ""sort -M <large file>"" command being run as root which was using all the available memory.",valgrind sort -M 10000.txt > /dev/null
1527074,"Description of problem:
Execute permission “x” is not applied to an .sh file while it is granted successfully.

Version-Release number of selected component (if applicable):
bash-4.4.12-12.fc27.x86_64

How reproducible: The .sh file has to be located on an external USB drive formatted with VFAT.

Used commands in terminal:
[yk@_]$ chmod +x install.sh
[yk@_]$ ls -l  install.sh
-rw-r--r--. 1 yk yk 1415 12. 7. 14:21 install.sh
[yk@_]$ mount|grep /dev/sdb1
/dev/sdb1 on /run/media/yk/FEDORA-WS-L type vfat (rw,nosuid,nodev,relatime,uid=1000,gid=1000,fmask=0022,dmask=0022,codepage=437,iocharset=ascii,shortname=mixed,showexec,utf8,flush,errors=remount-ro,uhelper=udisks2)

Actual results:
[yk@_]$ ./install.sh
bash: ./install.sh: Permission denied

As far as I understand from the above mentioned outputs, nothing seems to indicate that execute permission cannot be applied to the .sh file here. As noticeable the file-system is not mounted with a noexec option, so there is no need for 
$ sudo mount -o remount,exec /dev/sdb1

Expected results:
The -sh file with the present characteristics to be executable from an USB drive formatted with VFAT.

Additional info:
Thought that very script can be executed by using the bash command.","```bash
chmod +x install.sh
ls -l install.sh
./install.sh
```"
1520399,"Description of problem:

$ stat --help
says for ""-c %N"":
  %N   quoted file name with dereference if symbolic link

But it doesn't quote.


Version-Release number of selected component (if applicable):

$ cat /etc/redhat-release 
Fedora release 27 (Twenty Seven)
$ which stat
/usr/bin/stat
$ rpm -qf /usr/bin/stat
coreutils-8.27-17.fc27.x86_64
$ 

How reproducible:

always


Steps to Reproduce:

$ touch foo
$ ln -s foo bar
$ stat -c %N bar
bar -> foo
$

Actual results:

bar -> foo

Expected results:

'bar' -> 'foo'","touch foo  
ln -s foo bar  
stat -c %N bar"
1504053,"Description of problem:
Command chmod allows generally to perform some granting rights commands with missing options, without producing any kind of message error.

Version-Release number of selected component (if applicable):
coreutils-8.27-6.fc26.x86_64

How reproducible:
Steps to Reproduce:
1. Open a terminal, log in as root and move to the folder containing the target file for testing purpose.

2. Test at least one of the commands or all of them – It makes an over total of twenty commands that should produce a message error.

All the followings possible combinations are:
# chmod [u, g, o, ugo, a, ugoa, ugao, uago, augo]+/-<no_value [r, w, x, X, s, t]> </file>
which makes 18 combinations, and

# chmod +/-<no_value [r, w, x, X, s, t]> </file>
which makes a total of two combinations.

Examples of such combinations:
# chmod o- </file>
# chmod + </file>
# chmod ugao- </file>
and so on.

Actual results:
All attempts will be validated without any notification from coreutils.

Expected results:
It makes an over total of twenty commands that should produce a message error.

Additional info:
Issues apply to current Centos (v. 7.4.1708) as well.","```
chmod o- /path/to/file
chmod + /path/to/file
chmod ugao- /path/to/file
chmod ugoa+r /path/to/file
chmod ugo+x /path/to/file
chmod a+X /path/to/file
chmod u-s /path/to/file
chmod g+t /path/to/file
chmod o=rwx /path/to/file
chmod ugo=rx /path/to/file
chmod ugao=w /path/to/file
chmod uago+x /path/to/file
chmod augo=s /path/to/file
chmod ugao-t /path/to/file
chmod uago=X /path/to/file
chmod ugao+s /path/to/file
chmod uago=r /path/to/file
chmod ugoa=w /path/to/file
```"
1499625,"Description of problem:

ln's `-f` option is supposed to remove an existing symlink of the same name first. It works if the target does not exist or is a file, but it silently does not if the target is a directory.


Version-Release number of selected component (if applicable):

coreutils-8.27-16.fc27.x86_64

How reproducible: always


Steps to Reproduce:
1. mkdir old new
2. ln -s old foo
3. ln -sf new foo
4. ls -l foo

Actual results:

Symlink did not get updated to point to ""new"":

lrwxrwxrwx 1 martin martin 3  9. Okt 08:25 foo -> old

Expected results:

""foo"" symlink should point to ""new"".","mkdir old new
ln -s old foo
ln -sf new foo
ls -l foo"
573377,"Description of problem:

""ln -sf"" fails in certain situations silently.

Version-Release number of selected component (if applicable):

Fedora 12 / coreutils-7.6-9.fc12.i686

How reproducible:

Always.

Steps to Reproduce:
1. $ mkdir foo bar
2. $ ln -s foo baz
3. Verify:
        $ ls -ld foo bar baz
        drwxr-xr-x 2 wd users 6 Mar 14 15:02 bar
        lrwxrwxrwx 1 wd users 3 Mar 14 15:02 baz -> foo
        drwxr-xr-x 2 wd users 6 Mar 14 15:02 foo
        $ ls -l foo bar
        bar:
        total 0

        foo:
        total 0
4. $ ln -s -f bar baz

  
Actual results:

No error raised. ""baz"" still pointing to ""foo"".
""foo"" now contains anew symboic link ""bar"" pointing to itself:

        $ ls -ld foo bar baz
        drwxr-xr-x 2 wd users  6 Mar 14 15:02 bar
        lrwxrwxrwx 1 wd users  3 Mar 14 15:02 baz -> foo
        drwxr-xr-x 2 wd users 16 Mar 14 15:05 foo
        $ ls -l foo bar
        bar:
        total 0

        foo:
        total 0
        lrwxrwxrwx 1 wd users 3 Mar 14 15:05 bar -> bar

Expected results:

My expectation is that the result of ""ln -s -f target link_name"" is the same
as that of ""rm -f link_name; ln -s target link_name"".

In this case I exoect that the symbolic link ""baz"" gets removed and a new one created, pointing to ""bar"" similar to this:
        $ rm -f baz
        $ ln -s bar baz
        $ ls -ld foo bar baz
        drwxr-xr-x 2 wd users 6 Mar 14 15:09 bar
        lrwxrwxrwx 1 wd users 3 Mar 14 15:09 baz -> bar
        drwxr-xr-x 2 wd users 6 Mar 14 15:08 foo
        $ ls -l foo bar baz
        lrwxrwxrwx 1 wd users 3 Mar 14 15:09 baz -> bar

        bar:
        total 0

        foo:
        total 0


Additional info:","```bash
mkdir foo bar && ln -s foo baz && ln -s -f bar baz
```"
1496905,"Description of problem:
wc -l gives the wrong line count for files with windows line breaks and single trailing CRNL.

These are the contents of a file with which this can be tested:

jonas@cyberman:~$ hexdump test.txt
0000000 6261 0d63 640a 6665 0a0d               
000000a
jonas@cyberman:~$

Check notepad.png (attached) to see that this file shows up as 3 lines with a trailing empty line on Microsoft Windows. (which I suggest should be canonical on how to interpret Windows line breaks)

This is what wc -l says on this exact file:

jonas@cyberman:~$ wc -l test.txt
2 test.txt
jonas@cyberman:~$

Version-Release number of selected component (if applicable):
coreutils-8.27-16.fc27.x86_64

How reproducible:
100%

Steps to Reproduce:
1. Create above file with Windows line breaks
2. Check it out in Notepad on Windows
3. Try wc -l file.txt

Actual results:
wc -l doesn't agree with Notepad.exe about how many lines this file has

Expected results:
wc -l prints out same line count as visible in Notepad.exe on Windows

Additional info:","```bash
echo -e 'ab\rcd\nfe\r' > test.txt && wc -l test.txt
```"
1446266,"Description of problem:


Version-Release number of selected component:
coreutils-8.27-3.fc26

Additional info:
reporter:       libreport-2.9.1
backtrace_rating: 4
cmdline:        sleep 1000
crash_function: __nanosleep_nocancel
executable:     /usr/bin/sleep
journald_cursor: s=8240b9f6cfc34d8ab42c47805f20ef78;i=b05a;b=e7b2f6397a4c481c8311f1474fab99f1;m=3ab14812;t=54e25c496e37c;x=e8b2cac6e15a0c6d
kernel:         4.11.0-0.rc8.git0.1.fc26.x86_64
rootdir:        /
runlevel:       N 5
type:           CCpp
uid:            1000

Truncated backtrace:
Thread no. 1 (3 frames)
 #0 __nanosleep_nocancel at ../sysdeps/unix/syscall-template.S:84
 #1 rpl_nanosleep at ../lib/nanosleep.c:85
 #2 xnanosleep at ../lib/xnanosleep.c:51

Potential duplicate: bug 1195966",sleep 1000
1360903,"Several SELinux issues come up when playing with prctl(NO_NEW_PRIVS) applications.

NO_NEW_PRIVS prevents SELinux transitions from one domain to another iff the second domain has more privs then the first.

This is difficult to test.  It would be nice to be able to use runcon to diagnose issues.

I would like to see a flag like

runcon --no-new-privs -t svirt_lxc_net_t /bin/sh

And have it tell me whether or not the transition is happening.",None
1482445,"Description of problem:

ptx coredumps for particular input file. 

Version-Release number of selected component (if applicable):
coreutils-8.27-5.fc26.x86_64

How reproducible:
always with this file, probably more # CPU ? (could not reproduced in openstack)

Steps to Reproduce:
1. ptx reproducer_file

Actual results:
Segmentation fault (core dumped)


Additional info:

Program terminated with signal SIGSEGV, Segmentation fault.
#0  0x000000af3b98a2e9 in define_all_fields (occurs=0x7f587aac5e90) at ../src/ptx.c:1434
1434          SKIP_WHITE_BACKWARDS (cursor, buffer_start);
(gdb) bt
#0  0x000000af3b98a2e9 in define_all_fields (occurs=0x7f587aac5e90) at ../src/ptx.c:1434
#1  generate_all_output () at ../src/ptx.c:1780
#2  main (argc=<optimized out>, argv=<optimized out>) at ../src/ptx.c:2155",None
1483938,"'git am'able fix attached, let me know if you'd like me to push and
build this for devel.",None
